week201
am5koaesv06akh3pivqpz2ee24d1ngn6;新;nieuw;
qk47zskykg09i1gbvvqc36ptwswealuu;结婚;trouwen;
cxxr6oikxmk4uktbyipv6qj6nrwr3vip;年;jaar;
xgrlhk9g6b05ngxl7a43pifizih5w746;听说;horen zeggen;
qa6rcgj45a08mm7d36k3qn9patfe1s0a;星期;week;
pmtlntw6cytvc9gp22raoco7xmamgqck;星期三;woensdag;
9f7im8n59u66fk7tpyaqpbd5f6m0j8g8;星期日;zondag;
rjvrz1utmj4dm0tc8g26ajog3k8yiubn;星期天;zondag;
4t0jiv3dyqgmzkbo5ylh8ihad65mhrtt;以前;vroeger, eerder;
7jpxbkknrophlehmlmjm2xu6b2ztyb37;以后;later;
pu4b6vz1plice8vwzvnwtg38819y50d5;复习;herhalen;
kiw218fgsp0xfauzh362ws5y01rvfzzq;年级;jaar (niveau);
u7lgg5l56ad778mtgnllc08s7hhfp6ub;班;klasgroep;
hqw74ofdh0sa8rq2h67zplaqx90a4uc7;骑自行车;het berijden van een fiets, fietsen;
kbsync358xlswvddez09iubms8cv7b87;房子;huis, woning;
797a0fvd7jhe9ryzbz1zpnzt1vyfi7ij;还;nog;
ygnbvhg9jd7r1rkoqz6xcpdo6qgl7rr1;兄弟姐妹;broers en zussen;
03ij0abd8qrmrsqgc8gieygruwotjz14;多大;hoe oud?;
aiflv6k0erul839ushftiecbsp0u1wjc;岁;jaar (in leeftijd);
8vr7qf8kjfatxsyjdgyh67zn41hqjm74;远;ver;

week202
s3o065ex02z4dmmcpx5r7hmbi34x3uvq;日期;datum;
938amuqix2fdzd9xtgvuyweoof3m6j40;礼拜;week;
j4x3veu7hlsj3swn64hl1kq8oyohyrn1;周;week (geschreven taal);
2lb9jk4g0sqqho4aj1usml654656skgy;第;(gebruikt om rangtelwoorden te vormen);
cdo2w4oudybfstbeumknmw6t5y15upuf;国王;koning van een land;
jizbai4b5aswa9gmn4xuaxf0q4r5utvc;以前;vroeger, eerder;
kohpaq5abjny8uu7ic6ll53wp732c2lw;以后;later;
